trial_no,average_time,threads
input_3_10_10.txt,1,107
input_3_10_10.txt,2,64
input_3_10_10.txt,4,152
input_3_10_10.txt,8,147
input_3_10_10.txt,16,260
input_5_1000_1000.txt,1,16600
input_5_1000_1000.txt,2,8466
input_5_1000_1000.txt,4,4532
input_5_1000_1000.txt,8,4444
input_5_1000_1000.txt,16,4655
input_5_10_1000.txt,1,299
input_5_10_1000.txt,2,161
input_5_10_1000.txt,4,148
input_5_10_1000.txt,8,201
input_5_10_1000.txt,16,312
input_5_1000_10.txt,1,997
input_5_1000_10.txt,2,2707
input_5_1000_10.txt,4,943
input_5_1000_10.txt,8,875
input_5_1000_10.txt,16,950
