Tip Matrice,Nr threads,Timp executie
input_5_1000_1000.txt,1,105.72099
input_5_1000_1000.txt,2,86.99797
input_5_1000_1000.txt,4,71.72007
input_5_1000_1000.txt,8,77.1158
input_5_1000_1000.txt,16,120.31495
input_5_10000_10.txt,1,22.23357
input_5_10000_10.txt,2,27.99201
input_5_10000_10.txt,4,32.66537
input_5_10000_10.txt,8,54.90462
input_5_10000_10.txt,16,82.27066
input_5_10_10000.txt,1,40.89356
input_5_10_10000.txt,2,72.89094
input_5_10_10000.txt,4,55.95786
input_5_10_10000.txt,8,64.70543
input_5_10_10000.txt,10,71.37376
