Tip Matrice,Nr threads,Timp executie
input_3_10_10.txt,1,0.10842
input_3_10_10.txt,1,0.38548
input_3_10_10.txt,2,0.43063
input_3_10_10.txt,4,0.62223
input_3_10_10.txt,8,1.02083
input_3_10_10.txt,16,1.59759
input_5_1000_1000.txt,1,72.82402
input_5_1000_1000.txt,1,59.72569
input_5_1000_1000.txt,2,42.44622
input_5_1000_1000.txt,4,38.63128
input_5_1000_1000.txt,8,46.1491
input_5_1000_1000.txt,16,62.61109
input_5_10_1000.txt,1,7.84955
input_5_10_1000.txt,1,7.13748
input_5_10_1000.txt,2,18.95977
input_5_10_1000.txt,4,16.04588
input_5_10_1000.txt,8,15.03132
input_5_10_1000.txt,16,13.99976
input_5_1000_10.txt,1,7.88681
input_5_1000_10.txt,1,7.22781
input_5_1000_10.txt,2,18.98348
input_5_1000_10.txt,4,16.30416
input_5_1000_10.txt,8,13.79703
input_5_1000_10.txt,16,14.0095
